inches,seconds,counts,,
0,60,2707,,
0.0007,60,2511,,
0.0014,60,2524,,
0.001,60,2453,,
0.02,60,1549,,
0.025,60,1555,,
0.032,60,1189,,
0.04,60,948,,
0.063,120,802,,
0.08,120,410,,
0.09,120,253,,
0.1,300,355,,
0.125,420,178,,
background,300,59,,
"aluminium, green",,,,
,,,,
,,,,
,,,,
,,,,
No Source no absorber,,,,
Time(s),Radiation(cts),,,
300,59,,,
,,,,
,,,,
Green Source(no absorber),,,,
Time(s),Radiation(cts),,,
60,2707,,,
,,,,
,,,,
Green Source(Aluminum Foil 0.0007 in),,,Green Source(Plastic Sheet 0.004 in),
Time(s),Radiation(cts),,Time(s),Radiation(cts)
60,2511,,30,1284
,,,,
Green Source(2 Aluminum Foil 0.0007 in),,,Green Source(Plastic Sheet 0.008 in),
Time(s),Radiation(cts),,Time(s),Radiation(cts)
60,2524,,30,1172
,,,,
Green Source(1 Aluminum Foil 0.001 in),,,Green Source(Plastic 0.03 in),
Time(s),Radiation(cts),,Time(s),Radiation(cts)
60,2453,,30,918
,,,,
Green Source(1 Aluminum Absorber 0.02 in),,,Green Source(Plastic 0.04 in),
Time(s),Radiation(cts),,Time(s),Radiation(cts)
60,1549,,30,877
,,,,
Green Source(1 Aluminum Absorber 0.025 in),,,,
Time(s),Radiation(cts),,,
60,1555,,,
,,,,
Green Source(1 Aluminum Absorber 0.032 in),,,,
Time(s),Radiation(cts),,,
60,1189,,,
,,,,
Green Source(1 Aluminum Absorber 0.04 in),,,,
Time(s),Radiation(cts),,,
60,948,,,
,,,,
Green Source(1 Aluminum Absorber 0.063 in),,,,
Time(s),Radiation(cts),,,
120,802,,,
,,,,
Green Source(1 Aluminum Absorber 0.08 in),,,,
Time(s),Radiation(cts),,,
120,410,,,
,,,,
Green Source(1 Aluminum Absorber 0.09 in),,,,
Time(s),Radiation(cts),,,
120,253,,,
,,,,
Green Source(1 Aluminum Absorber 0.1 in),,,,
Time(s),Radiation(cts),,,
300,355,,,
,,,,
Green Source(1 Aluminum Absorber 0.125 in),,,,
Time(s),Radiation(cts),,,
420,178,,,