inches,seconds,counts,
0,120,2304,
0.0007,120,2232,
0.02,120,1016,
0.032,180,982,
0.05,180,473,
0.08,180,129,
background,300,62,
"aluminum, uraniumcup",,,
,,,
Uranium Cup - No Absorber,,,
Time(s),Radiation(counts),,
120,2304,,"IMPORTANT: Data here does NOT have each Aluminum, only specific Aluminum absorbers have been added."
,,,
Uranium Cup - 0.0007 inches Aluminum,,,
Time(s),Radiation(counts),,
120,2232,,
,,,
Uranium Cup - 0.02 inches Aluminum,,,
Time(s),Radiation(counts),,
120,1016,,
,,,
Uranium Cup - 0.032 inches Aluminum,,,
Time(s),Radiation(counts),,
180,982,,
,,,
Uranium Cup - 0.05 inches Aluminum,,,
Time(s),Radiation(counts),,
180,473,,
,,,
Uranium Cup - 0.08 inches Aluminum,,,
Time(s),Radiation(counts),,
180,129,,